#  A   Z  El   half-life   bindingEnergy
#              [s]         [keV]
   1   0   n   6.13900e+02             0
   1   1   H           inf             0
   2   1   H           inf        1112.3
   3   1   H   3.88150e+08        2827.3
   3   2  He           inf        2572.7
   3   3  Li   0.00000e+00         -2267
   4   1   H   1.39000e-22        1720.4
   4   2  He           inf        7073.9
   4   3  Li   9.10000e-23        1153.8
   5   1   H   0.00000e+00        1336.4
   5   2  He   7.00000e-22        5512.1
   5   3  Li   3.70000e-22        5266.1
   5   4  Be   0.00000e+00            18
   6   1   H   2.90000e-22        961.64
   6   2  He   8.06900e-01        4878.5
   6   3  Li           inf        5332.3
   6   4  Be   5.00000e-21        4487.2
   6   5   B   0.00000e+00          -467
   7   1   H   5.00000e-22           940
   7   2  He   2.50000e-21        4123.1
   7   3  Li           inf        5606.4
   7   4  Be   4.59648e+06        5371.5
   7   5   B   5.70000e-22        3558.7
   8   2  He   1.19100e-01        3924.5
   8   3  Li   8.39400e-01        5159.7
   8   4  Be   8.19000e-17        7062.4
   8   5   B   7.70000e-01        4717.2
   8   6   C   3.50000e-21        3101.5
   9   2  He   2.50000e-21          3349
   9   3  Li   1.78300e-01        5037.8
   9   4  Be           inf        6462.7
   9   5   B   8.00000e-19        6257.1
   9   6   C   1.26500e-01        4337.4
  10   2  He   3.10000e-21        2995.1
  10   3  Li   2.00000e-21        4531.4
  10   4  Be   4.73354e+13        6497.6
  10   5   B           inf        6475.1
