#  El    bindingEnergy
#        [keV]
    n                0
    H                0
    H           1112.3
    H           2827.3
   He           2572.7
   Li            -2267
    H           1720.4
   He           7073.9
   Li           1153.8
    H           1336.4
   He           5512.1
   Li           5266.1
   Be               18
    H           961.64
   He           4878.5
   Li           5332.3
   Be           4487.2
    B             -467
    H              940
   He           4123.1
   Li           5606.4
   Be           5371.5
    B           3558.7
   He           3924.5
   Li           5159.7
   Be           7062.4
    B           4717.2
    C           3101.5
   He             3349
   Li           5037.8
   Be           6462.7
    B           6257.1
    C           4337.4
  1He           2995.1
   Li           4531.4
   Be           6497.6
    B           6475.1
