#  A   Z  El   half-life  bindingEnergy
#               [s]        [keV]
   1   0   n   6.13900e+02             0
   1   1   H           inf             0
   2   1   H           inf        1112.3
   3   1   H   3.88150e+08        2827.3
   3   2  He           inf        2572.7
   3   3  Li   0.00000e+00         -2267
   4   1   H   1.39000e-22        1720.4
   4   2  He           inf        7073.9
   4   3  Li   9.10000e-23        1153.8
   5   1   H   0.00000e+00        1336.4
   5   2  He   7.00000e-22        5512.1
   5   3  Li   3.70000e-22        5266.1
   5   4  Be   0.00000e+00            18
   6   1   H   2.90000e-22        961.64
   6   2  He   8.06900e-01        4878.5
   6   3  Li           inf        5332.3
   6   4  Be   5.00000e-21        4487.2
   6   5   B   0.00000e+00          -467
   7   1   H   5.00000e-22           940
   7   2  He   2.50000e-21        4123.1
   7   3  Li           inf        5606.4
   7   4  Be   4.59648e+06        5371.5
   7   5   B   5.70000e-22        3558.7
   8   2  He   1.19100e-01        3924.5
   8   3  Li   8.39400e-01        5159.7
   8   4  Be   8.19000e-17        7062.4
   8   5   B   7.70000e-01        4717.2
   8   6   C   3.50000e-21        3101.5
   9   2  He   2.50000e-21          3349
   9   3  Li   1.78300e-01        5037.8
   9   4  Be           inf        6462.7
   9   5   B   8.00000e-19        6257.1
   9   6   C   1.26500e-01        4337.4
  10   2  He   3.10000e-21        2995.1
  10   3  Li   2.00000e-21        4531.4
  10   4  Be   4.73354e+13        6497.6
  10   5   B           inf        6475.1
  10   6   C   1.93000e+01          6032
  10   7   N   2.00000e-22        3643.7
  11   3  Li   8.70000e-03        4155.4
  11   4  Be   1.37000e+01        5952.5
  11   5   B           inf        6927.7
  11   6   C   1.21800e+03        6676.5
  11   7   N   5.50000e-22          5364
  12   3  Li   0.00000e+00        3791.6
  12   4  Be   2.15000e-02        5720.7
  12   5   B   2.02000e-02        6631.2
  12   6   C           inf        7680.1
  12   7   N   1.10000e-02        6170.1
  12   8   O   0.00000e+00        4890.2
  13   3  Li   3.30000e-21        3507.6
  13   4  Be   1.00000e-21        5241.4
  13   5   B   1.73000e-02        6496.4
  13   6   C           inf        7469.8
  13   7   N   5.94000e+02        7238.9
  13   8   O   8.50000e-03        5811.8
  14   4  Be   4.30000e-03        4993.9
  14   5   B   1.25000e-02        6101.6
  14   6   C   1.79874e+11        7520.3
  14   7   N           inf        7475.6
  14   8   O   7.06000e+01        7052.3
  14   9   F   5.00000e-22        5285.2
  15   4  Be   7.90000e-22          4541
  15   5   B   9.90000e-03          5880
  15   6   C   2.40000e+00        7100.2
  15   7   N           inf        7699.5
  15   8   O   1.22200e+02        7463.7
  15   9   F   1.10000e-21        6497.5
  15  10  Ne   7.70000e-22        4868.7
  16   4  Be   6.50000e-22        4285.3
  16   5   B   0.00000e+00        5507.3
  16   6   C   7.47000e-01        6922.1
  16   7   N   7.10000e+00        7373.8
  16   8   O           inf        7976.2
  16   9   F   1.10000e-20        6963.7
  16  10  Ne   0.00000e+00        6083.2
  17   5   B   5.00000e-03        5269.7
  17   6   C   1.93000e-01          6558
  17   7   N   4.10000e+00        7286.2
  17   8   O           inf        7750.7
  17   9   F   6.43000e+01        7542.3
  17  10  Ne   1.09200e-01        6640.5
  17  11  Na   0.00000e+00        5496.1
  18   5   B   0.00000e+00        4976.6
  18   6   C   9.20000e-02        6426.1
  18   7   N   6.19200e-01        7038.6
  18   8   O           inf        7767.1
  18   9   F   6.58200e+03        7631.6
  18  10  Ne   1.66420e+00        7341.3
  18  11  Na   1.30000e-21        6202.2
  19   5   B   2.90000e-03        4719.6
  19   6   C   4.62000e-02        6118.3
  19   7   N   3.36000e-01        6948.5
  19   8   O   2.64000e+01        7566.5
  19   9   F           inf          7779
  19  10  Ne   1.72000e+01        7567.3
  19  11  Na   0.00000e+00        6937.9
  19  12  Mg   5.00000e-12          5902
